Tower Fan,Tower Fan from the Home Appliances category,1932.25
KitchenAid Mixer,KitchenAid Mixer from the Home Appliances category,1313.66
Apple iPad Pro,Apple iPad Pro from the Electronics category,207.5
Apple iPad Pro,Apple iPad Pro from the Electronics category,619.08
Gel Pens Set,Gel Pens Set from the Stationery category,1869.45
Men's T-Shirt,Men's T-Shirt from the Clothing category,224.22
Sony WH-1000XM5,Sony WH-1000XM5 from the Electronics category,415.73
A4 Printer Paper,A4 Printer Paper from the Stationery category,1672.59
Baseball Cap,Baseball Cap from the Clothing category,1592.88
Men's T-Shirt,Men's T-Shirt from the Clothing category,1418.0
Men's T-Shirt,Men's T-Shirt from the Clothing category,1540.42
Philips Air Fryer,Philips Air Fryer from the Home Appliances category,709.1
Dyson Vacuum Cleaner,Dyson Vacuum Cleaner from the Home Appliances category,1877.35
Sticky Notes,Sticky Notes from the Stationery category,531.21
KitchenAid Mixer,KitchenAid Mixer from the Home Appliances category,379.78
LG Washing Machine,LG Washing Machine from the Home Appliances category,99.6
HP Envy Laptop,HP Envy Laptop from the Electronics category,1233.55
Dyson Vacuum Cleaner,Dyson Vacuum Cleaner from the Home Appliances category,1927.22
Highlighter Pack,Highlighter Pack from the Stationery category,1759.9
Google Pixel 7,Google Pixel 7 from the Electronics category,1344.35
Desk Organizer,Desk Organizer from the Stationery category,1880.7
Apple MacBook Air,Apple MacBook Air from the Electronics category,1393.57
Dyson Vacuum Cleaner,Dyson Vacuum Cleaner from the Home Appliances category,545.93
Instant Pot Cooker,Instant Pot Cooker from the Home Appliances category,346.75
Instant Pot Cooker,Instant Pot Cooker from the Home Appliances category,1764.39
Philips Air Fryer,Philips Air Fryer from the Home Appliances category,776.83
Sketchbook,Sketchbook from the Stationery category,1987.34
Gel Pens Set,Gel Pens Set from the Stationery category,873.78
Samsung Galaxy S22,Samsung Galaxy S22 from the Electronics category,1094.78
Hooded Sweatshirt,Hooded Sweatshirt from the Clothing category,1598.11
Women's Summer Dress,Women's Summer Dress from the Clothing category,1756.57
Dell XPS 13,Dell XPS 13 from the Electronics category,1082.88
Apple iPad Pro,Apple iPad Pro from the Electronics category,312.81
Apple MacBook Air,Apple MacBook Air from the Electronics category,1473.53
LG Washing Machine,LG Washing Machine from the Home Appliances category,1898.14
Philips Air Fryer,Philips Air Fryer from the Home Appliances category,717.91
Highlighter Pack,Highlighter Pack from the Stationery category,1056.5
Electric Kettle,Electric Kettle from the Home Appliances category,908.59
Baseball Cap,Baseball Cap from the Clothing category,445.26
Electric Kettle,Electric Kettle from the Home Appliances category,815.89
Spiral Notebook,Spiral Notebook from the Stationery category,927.35
Apple iPad Pro,Apple iPad Pro from the Electronics category,239.64
Whiteboard Markers,Whiteboard Markers from the Stationery category,1489.65
Highlighter Pack,Highlighter Pack from the Stationery category,1100.78
Google Pixel 7,Google Pixel 7 from the Electronics category,306.77
Google Pixel 7,Google Pixel 7 from the Electronics category,1979.53
Gel Pens Set,Gel Pens Set from the Stationery category,1226.48
LED Desk Lamp,LED Desk Lamp from the Home Appliances category,1232.11
Dyson Vacuum Cleaner,Dyson Vacuum Cleaner from the Home Appliances category,872.7
Google Pixel 7,Google Pixel 7 from the Electronics category,504.78
Desk Organizer,Desk Organizer from the Stationery category,1996.27
Electric Kettle,Electric Kettle from the Home Appliances category,776.47
Spiral Notebook,Spiral Notebook from the Stationery category,842.33
Hooded Sweatshirt,Hooded Sweatshirt from the Clothing category,1657.94
Samsung Smart Refrigerator,Samsung Smart Refrigerator from the Home Appliances category,1986.98
Dell XPS 13,Dell XPS 13 from the Electronics category,44.9
Whiteboard Markers,Whiteboard Markers from the Stationery category,809.83
Running Shoes,Running Shoes from the Clothing category,1663.73
Silk Scarf,Silk Scarf from the Clothing category,1331.46
Running Shoes,Running Shoes from the Clothing category,388.29
Bullet Journal,Bullet Journal from the Stationery category,828.64
Apple iPad Pro,Apple iPad Pro from the Electronics category,997.21
Apple MacBook Air,Apple MacBook Air from the Electronics category,381.66
Electric Kettle,Electric Kettle from the Home Appliances category,735.06
Men's T-Shirt,Men's T-Shirt from the Clothing category,178.25
Silk Scarf,Silk Scarf from the Clothing category,1789.73
Leather Jacket,Leather Jacket from the Clothing category,1715.78
Whiteboard Markers,Whiteboard Markers from the Stationery category,430.12
Men's T-Shirt,Men's T-Shirt from the Clothing category,1637.22
Gel Pens Set,Gel Pens Set from the Stationery category,346.61
Sony WH-1000XM5,Sony WH-1000XM5 from the Electronics category,163.46
LED Desk Lamp,LED Desk Lamp from the Home Appliances category,1597.07
Leather Jacket,Leather Jacket from the Clothing category,571.87
Samsung Smart Refrigerator,Samsung Smart Refrigerator from the Home Appliances category,302.96
Dell XPS 13,Dell XPS 13 from the Electronics category,1750.05
Silk Scarf,Silk Scarf from the Clothing category,783.12
Whiteboard Markers,Whiteboard Markers from the Stationery category,1219.19
Gel Pens Set,Gel Pens Set from the Stationery category,1291.14
Tower Fan,Tower Fan from the Home Appliances category,522.72
HP Envy Laptop,HP Envy Laptop from the Electronics category,170.2
Apple iPad Pro,Apple iPad Pro from the Electronics category,461.12
Leather Jacket,Leather Jacket from the Clothing category,1011.02
Whiteboard Markers,Whiteboard Markers from the Stationery category,857.73
Running Shoes,Running Shoes from the Clothing category,196.65
Apple MacBook Air,Apple MacBook Air from the Electronics category,1834.76
Bullet Journal,Bullet Journal from the Stationery category,1263.95
Sticky Notes,Sticky Notes from the Stationery category,1957.34
Sketchbook,Sketchbook from the Stationery category,544.82
Denim Jeans,Denim Jeans from the Clothing category,159.54
Instant Pot Cooker,Instant Pot Cooker from the Home Appliances category,1984.95
Desk Organizer,Desk Organizer from the Stationery category,1003.2
Silk Scarf,Silk Scarf from the Clothing category,1019.9
Samsung Galaxy S22,Samsung Galaxy S22 from the Electronics category,1116.35
KitchenAid Mixer,KitchenAid Mixer from the Home Appliances category,1901.81
Women's Summer Dress,Women's Summer Dress from the Clothing category,678.84
Desk Organizer,Desk Organizer from the Stationery category,1953.72
Philips Air Fryer,Philips Air Fryer from the Home Appliances category,453.26
Philips Air Fryer,Philips Air Fryer from the Home Appliances category,1409.87
Hooded Sweatshirt,Hooded Sweatshirt from the Clothing category,1649.38
iPhone 13,iPhone 13 from the Electronics category,1191.15
Dyson Vacuum Cleaner,Dyson Vacuum Cleaner from the Home Appliances category,942.7
Leather Jacket,Leather Jacket from the Clothing category,626.98
